outbound_date,route,average_fare,median_fare,minimum_fare,maximum_fare,fare_std,observations,airlines,fare_range,volatility_pct,fare_change_pct
2026-09-12,HYD-COK,35869.0,34706.5,28093.0,43669.0,4824.329975684263,8,3,15576.0,13.449859142112308,
2026-09-13,HYD-COK,25379.571428571428,24437.0,23295.0,29314.0,2458.208958919947,7,2,6019.0,9.685778051210832,-29.24371622132921
2026-09-12,HYD-DEL,18641.0,18758.5,17428.0,19889.0,892.2309118159936,6,2,2461.0,4.786389742052431,
2026-09-13,HYD-DEL,17251.842105263157,17218.0,16262.0,18761.0,685.9104463054013,19,3,2499.0,3.9758678645461587,-7.452164018758889
2026-09-12,HYD-GOI,16324.0,16324.0,16324.0,16324.0,0.0,1,1,0.0,0.0,
2026-09-13,HYD-GOI,13446.8,14321.0,11779.0,14509.0,1298.486503587927,5,1,2730.0,9.656472198500216,-17.625581965204606
2026-09-12,HYD-MAA,15332.0,15332.0,15332.0,15332.0,0.0,1,1,0.0,0.0,
2026-09-13,HYD-MAA,13010.111111111111,12630.0,11944.0,14563.0,1220.9344212983392,9,2,2619.0,9.384504181948273,-15.144070498883956
2026-09-12,HYD-PNQ,22535.0,22535.0,22535.0,22535.0,0.0,1,1,0.0,0.0,
2026-09-13,HYD-PNQ,10306.25,10486.0,9095.0,11457.0,796.2884886414327,8,2,2362.0,7.726267931026635,-54.26558686487686
2026-09-12,MAA-AMD,33113.5,33910.0,20778.0,39077.0,6451.105261891174,6,2,18299.0,19.481798245099956,
2026-09-13,MAA-AMD,18894.833333333332,17898.0,17076.0,23714.0,2069.8804898892686,12,2,6638.0,10.954743306667265,-42.939183917938806
2026-09-12,MAA-BLR,26622.0,35164.0,10416.0,38318.0,13694.061924790614,5,3,27902.0,51.438892362672284,
2026-09-13,MAA-BLR,8059.75,8085.0,7646.0,8266.0,232.85173087488212,8,3,620.0,2.889068902569957,-69.72522725565322
2026-09-12,MAA-BOM,19372.0,19372.0,16977.0,21767.0,3387.0414818835625,2,2,4790.0,17.484211655397285,
2026-09-13,MAA-BOM,14313.333333333334,14365.5,13924.0,14848.0,339.61350581702965,12,3,924.0,2.372707306593127,-26.113290660059185
2026-09-12,MAA-CCU,30953.333333333332,24185.0,17898.0,50777.0,17453.220686547607,3,2,32879.0,56.38559343058671,
2026-09-13,MAA-CCU,17482.0,17058.0,15394.0,19852.0,1699.010594434302,9,2,4458.0,9.718628271561046,-43.521430109842775
2026-09-12,MAA-COK,13366.0,13366.0,13366.0,13366.0,0.0,1,1,0.0,0.0,
2026-09-13,MAA-COK,43355.555555555555,15031.0,15014.0,242616.0,74963.60355884566,9,4,227602.0,172.90426243711195,224.37195537599547
2026-09-12,MAA-DEL,28743.6,27622.0,21474.0,41659.0,7644.414647309499,5,2,20185.0,26.595188658725768,
2026-09-13,MAA-DEL,22008.0,20371.5,19028.0,41292.0,6124.808969191685,12,2,22264.0,27.82992079785389,-23.433390389512788
2026-09-12,MAA-GOI,22727.0,22727.0,22727.0,22727.0,0.0,1,1,0.0,0.0,
2026-09-13,MAA-GOI,17964.2,17587.0,12077.0,27688.0,4632.234661106404,10,2,15611.0,25.78592234057962,-20.956571478857743
2026-09-12,MAA-HYD,22389.8,13840.0,13560.0,38269.0,12013.73215116768,5,2,24709.0,53.65716599151257,
2026-09-13,MAA-HYD,12752.0,12722.0,11662.0,13313.0,605.5955746205547,7,2,1651.0,4.7490242677270595,-43.04549393027182
2026-09-12,MAA-PNQ,15734.0,15185.0,13264.0,19302.0,2741.9170908934016,4,2,6038.0,17.426700717512404,
2026-09-13,MAA-PNQ,11095.375,11113.0,9830.0,12075.0,674.2053391109527,8,1,2245.0,6.076453829734936,-29.481536799288165
2026-09-12,PNQ-AMD,9881.0,9881.0,9691.0,10071.0,268.70057685088807,2,2,380.0,2.719366226605486,
2026-09-13,PNQ-AMD,8355.0,8630.0,7066.0,9280.0,825.3413435260182,7,2,2214.0,9.87841225046102,-15.44378099382654
2026-09-12,PNQ-BLR,13180.0,10197.0,9308.0,23018.0,6572.312226302096,4,3,13710.0,49.86579837861985,
2026-09-13,PNQ-BLR,9478.23076923077,9199.0,8977.0,12004.0,797.6650460193334,13,3,3027.0,8.41575886302323,-28.0862612349714
2026-09-12,PNQ-CCU,14728.0,14728.0,14342.0,15114.0,545.8864350760147,2,1,772.0,3.706453252824651,
2026-09-13,PNQ-CCU,16600.4,14873.5,13854.0,29169.0,4719.500708055179,10,4,15315.0,28.43004209570359,12.713199348180337
2026-09-12,PNQ-COK,43695.0,50740.0,13509.0,52269.0,16889.280194845487,5,3,38760.0,38.652660933391665,
2026-09-13,PNQ-COK,16402.2,15820.5,15553.0,18815.0,1144.0408695108365,10,2,3262.0,6.974923299989248,-62.462066598008924
2026-09-12,PNQ-DEL,23144.75,21384.0,18221.0,31732.0,5080.648545496641,8,4,13511.0,21.95162421498025,
2026-09-13,PNQ-DEL,14378.733333333334,14408.0,13861.0,15269.0,473.1773250615261,15,5,1408.0,3.2908136905535916,-37.87475201359559
2026-09-12,PNQ-GOI,44637.666666666664,43856.0,42331.0,47726.0,2781.1433500151225,3,2,5395.0,6.2304855018148855,
2026-09-13,PNQ-GOI,23154.875,22238.5,19323.0,31231.0,4417.955035582477,8,2,11908.0,19.08002109958476,-48.127048904886
2026-09-12,PNQ-HYD,10355.5,10355.5,9830.0,10881.0,743.1692270270614,2,2,1051.0,7.176565371320182,
2026-09-13,PNQ-HYD,10013.833333333334,9934.5,8940.0,11457.0,963.7222456012241,6,2,2517.0,9.623909381368016,-3.299373923679838
2026-09-12,PNQ-MAA,12896.0,12896.0,12312.0,13480.0,825.9007204258875,2,1,1168.0,6.404317000821087,
2026-09-13,PNQ-MAA,11540.42857142857,10801.0,9830.0,16581.0,2316.35661165999,7,2,6751.0,20.07166889273725,-10.511565047855376
