route,airline,average_fare,median_fare,minimum_fare,maximum_fare,observations,average_duration_minutes,average_stops
CCU-AMD,IndiGo,17676.8,18013.0,13711.0,19801.0,5,265.0,0.4
CCU-AMD,Air India,21590.25,20893.0,19680.0,24797.0,8,580.0,1.0
CCU-BLR,IndiGo,18446.4375,18000.0,15976.0,23565.0,16,243.4375,0.5
CCU-BLR,Akasa Air,19534.0,19534.0,19324.0,19744.0,2,160.0,0.0
CCU-BLR,Air India Express,22961.25,20345.0,18785.0,32370.0,4,241.25,0.25
CCU-BOM,IndiGo,17985.125,18166.0,17173.0,18968.0,8,166.25,0.0
CCU-BOM,Akasa Air,17999.0,17834.5,17364.0,18963.0,4,160.0,0.0
CCU-BOM,Air India,19997.4,17514.0,17168.0,24312.0,5,186.0,0.0
CCU-COK,IndiGo,30519.0,30437.0,26994.0,34843.0,13,431.9230769230769,1.0
CCU-DEL,IndiGo,16554.1,16750.0,15376.0,17433.0,10,172.5,0.2
CCU-DEL,Air India,17192.0,17291.0,15983.0,17969.0,7,152.85714285714286,0.0
CCU-DEL,Akasa Air,17684.0,17684.0,17522.0,17846.0,2,140.0,0.0
CCU-DEL,SpiceJet,18151.0,18151.0,18151.0,18151.0,1,135.0,0.0
CCU-GOI,IndiGo,29944.571428571428,29136.0,28110.0,34433.0,7,390.0,0.8571428571428571
CCU-GOI,"Air India, Air India Express",31306.0,31306.0,31306.0,31306.0,1,535.0,1.0
CCU-GOI,Air India,36756.0,36070.0,28826.0,46058.0,4,726.25,1.0
CCU-HYD,IndiGo,21090.2,20361.0,18131.0,28026.0,10,194.0,0.3
CCU-HYD,Air India,21352.0,21352.0,20349.0,22355.0,2,340.0,1.0
CCU-HYD,Air India Express,34457.0,34457.0,34457.0,34457.0,1,300.0,1.0
CCU-MAA,IndiGo,15250.5,15319.0,13906.0,17163.0,10,234.5,0.5
CCU-MAA,Air India Express,17351.666666666668,16689.0,15889.0,19477.0,3,400.0,0.3333333333333333
CCU-MAA,Air India,30673.0,30673.0,30673.0,30673.0,1,710.0,1.0
CCU-PNQ,Akasa Air,16000.0,16000.0,16000.0,16000.0,1,165.0,0.0
CCU-PNQ,IndiGo,18724.090909090908,17462.0,14723.0,26609.0,11,322.27272727272725,0.6363636363636364
CCU-PNQ,Air India,21734.0,21734.0,20444.0,23024.0,2,345.0,1.0
COK-AMD,IndiGo,26182.0,26182.0,26182.0,26182.0,1,580.0,1.0
COK-BLR,Air India Express,15085.666666666666,14950.0,14272.0,16035.0,3,73.33333333333333,0.0
COK-BLR,IndiGo,15448.0,14650.0,11270.0,19735.0,8,75.0,0.0
COK-BOM,Akasa Air,16862.0,16862.0,16862.0,16862.0,1,140.0,0.0
COK-BOM,Air India Express,17566.6,16538.0,14632.0,20527.0,5,225.0,0.2
COK-BOM,IndiGo,17844.5,17255.0,15583.0,21560.0,6,150.0,0.16666666666666666
COK-BOM,Air India,20210.0,19698.5,16913.0,24530.0,4,146.25,0.0
COK-BOM,"Air India Express, Air India",30176.5,30176.5,29823.0,30530.0,2,602.5,1.0
COK-CCU,IndiGo,32011.0,32011.0,32011.0,32011.0,1,325.0,1.0
COK-DEL,IndiGo,24365.0,24434.0,23532.0,25121.0,7,253.57142857142858,0.42857142857142855
COK-DEL,Air India Express,28091.75,26659.5,23597.0,35451.0,4,311.25,0.25
COK-DEL,Air India,28183.333333333332,27365.0,25332.0,31657.0,6,238.33333333333334,0.16666666666666666
COK-DEL,"Air India Express, Air India",41662.0,41662.0,41662.0,41662.0,1,490.0,1.0
